file size (byte), file name, memory capacity (byte), k, time (ms)
10380902400, input_9900MB, 134200000, 4, 692584
9227468800, input_8800MB, 134200000, 4, 611148
8074035200, input_7700MB, 134200000, 4, 540736
6920601600, input_6600MB, 134200000, 4, 499085
5767168000, input_5500MB, 134200000, 4, 403948
4613734400, input_4400MB, 134200000, 4, 338018
3460300800, input_3300MB, 134200000, 4, 254785
2306867200, input_2200MB, 134200000, 4, 163397
1153433600, input_1100MB, 134200000, 4, 70921
943718400, input_900MB, 134200000, 4, 63609
838860800, input_800MB, 134200000, 4, 53245
734003200, input_700MB, 134200000, 4, 48227
629145600, input_600MB, 134200000, 4, 41590
524288000, input_500MB, 134200000, 4, 34341
419430400, input_400MB, 134200000, 4, 25700
314572800, input_300MB, 134200000, 4, 19130
209715200, input_200MB, 134200000, 4, 12354
104857600, input_100MB, 134200000, 4, 5475
