symptoms,body_part,clinic_department,description,medicine_name
发热|身痛,全身,骨科,"    所谓骨折,顾名思义，就是指骨头或骨头的结构完全或部分断裂。多见于儿童及老年人,中青年也时有发生。病人常为-个部位骨折，少数为多发性骨折,经及时恰当处理，多数病人能恢复原来的功能，少数病人可留有不同程度的后遗症,骨折发生后，离医院较近者，可直接送医院或叫救护车,离医院比较远的病人，必须进行简单的处理，以防在送医院途中加重病情,甚至造成不可逆的后果。",骨折
发热|身痛,下肢,骨科,"    股骨颈骨折常发生于老年人,随着人的寿命延长，其发病率日渐增高，以50-70岁者为最多,因老年人骨质疏松，股骨颈脆弱，轻微跌倒即可发生骨折,该部位血运较差，若骨折处理不及时、不适当,都会导致骨折不愈合或并发股骨头缺血性坏死，创伤性关节炎，严重地影响老年人的生活",股骨颈骨折
发热|身痛,下肢,骨科,"    股骨大粗隆位于体表,易受慢性创伤，局部松质骨又多，故股骨大粗隆结核较为常见,占全身骨关节结核1.59％，多见于20～40岁青壮年。10岁以下极为少见",股骨大粗隆结核
身痛,下肢,骨科,"    称Legg-Calve-Perthes病（LCP）,简称Perthes病。是最常见的骨软骨病。好发于3～10岁的儿童,男多于女，其比例为4～6∶1。偶有小于2岁或大于10岁发病者,双侧发病者约占10％，病程需2～4年。本病为骨骺的缺血性坏死,主要侵犯股骨头的骨骺和股骨的干骺端，偶有影响髋臼者。",股骨头骨骺骨软骨病(Legg-Calve-Perthes病)
发热|身痛,下肢,骨科,"    股骨髁骨折占全身骨折的0.4％,但其疗效却不满意。股骨髁周围有关节囊、韧带,肌肉及肌腱附着。骨折块受这些组织的牵拉，不易复位也不易维持复位,股骨髁骨折，可并发腘动脉、神经及其周围软组织的广泛损伤,在伴有相邻支持结构如侧副韧带、交叉韧带损伤时，可造成膝关节不稳定,也因股四头肌、髌上囊损伤而造成伸膝装置粘连，损害膝关节功能,骨折可造成股骨髁与胫骨平台、髌骨与股骨关节面之间，相应关节的破坏,改变了正常膝正常的解剖轴与机械轴，破坏了膝关节正常负荷与传导。股骨髁骨折易发生骨块分离而不产生塌陷,易于产生“T”或“Y”型骨折。",股骨髁骨折
发热|身痛,下肢,骨科,"    由于牵拉骨膜上的足底筋膜引起的跟骨下区域的足跟痛,在X线上有或无骨刺表现。骨刺是由于足底筋膜在跟骨的附着处过度牵拉骨膜所致。过度牵拉引起足底筋膜内缘的疼痛（足底筋膜炎）,导致跖筋膜紧张的病变有平足及跟腱挛缩。",跟骨骨刺综合征
发热|身痛|关节疼痛,全身,骨科,"    关节脱位(dislocation of joints)是指组成关节的各骨的关节面失去正常的对应关系,临床上可分损伤性脱位、先天性脱位及病理性脱位。 关节脱位后,关节囊、韧带、关节软骨及肌肉等软组织也有损伤,另外关节周围肿胀，可有血肿，若不及时复位,血肿机化，关节粘连，使关节不同程度丧失功能",关节脱位(脱臼)
关节疼痛,全身,骨科,"    骨质增生症又称为增生性骨关节炎,骨性关节炎(OA)、退变性关节病、老年性关节炎,肥大性关节炎，是由于构成关节的软骨、椎间盘,韧带等软组织变性、退化，关节边缘形成骨刺,滑膜肥厚等变化，而出现骨破坏，引起继发性的骨质增生,导致关节变形，当受到异常载荷时，引起关节疼痛,活动受限等症状的一种疾病。分原发性和继发性两种。","骨质增生(增生性骨关节炎,退变性关节病,老年性关节炎,肥大性关节炎)"
发热|身痛,下肢,骨科,"    是指跟腱附着跟骨处下方滑囊的炎症,与创伤和炎症性关节炎（如为类风湿性关节炎）有关。任何增加跟腱劳损的情况都可为本病原因，如坚硬或高鞋帮也可成为致病因素",跟腱前囊炎
发热|身痛,下肢,骨科,"    发生在跟腱上方的滑囊炎症,是足跟位置与功能异常的结果。跟腱后滑囊炎最多见于青年女性，但男性也可发生,由于足跟在整个步伐周期中容易以内翻的位置活动，过度压迫跟骨外后侧面与鞋帮之间的软组织（形成跟部硬茧）。跟骨的这一面变得隆起,易于触及，常被误认为外生骨疣。",跟腱后滑囊炎
发热|脓疱|呼吸异常|胸痛,胸部,"心胸外科,骨科","    感染性肋软骨炎又称化脓性肋软骨炎, 是一种较少见的外科感染, 分为原发性和继发性2 种,文献报道以继发性占多数。原发性者多为血源性感染,感染细菌多为结核杆菌、伤寒杆菌,副伤寒杆菌、绿脓杆菌、葡萄球菌,链球菌、大肠杆菌、肺炎球菌等,而继发性则多见于胸部手术后发生的感染性并发症。若得不到及时正确的治疗, 常导致病情迁延、恶化及致残",感染性肋软骨炎(化脓性肋软骨炎)
发热|身痛,下肢,骨科,"    跟骨是人体最大的跗骨,主要由松质骨构成，其周围仅有一层较薄的皮质骨包绕。人体站立时,跟骨位于最低位，受重力影响血液回流缓慢，有利于细菌在该骨停留繁殖,特别在跟骨体部中心，骨小梁稀少的三角区，含有丰富的骨髓,是跟骨结构的薄弱处，因而是跟骨血源性骨髓炎易发部位。",跟骨骨髓炎
发热|关节疼痛,上肢,骨科,"    创伤性骨化性肌炎是一种比较常见的肘关节部急性损伤的继发症,其发生多为肘关节骨折, 脱位及关节囊、肌腱、韧带等损伤, 关节部位血肿机化及损伤后人为的强力被动牵拉, 创伤性渗出反复出现, 形成骨膜下骨化所致",肘关节骨化肌炎(创伤性骨化性肌炎)
发热|身痛|关节疼痛,上肢,骨科,"    正常肘关节完全伸直时有一轻度外翻男性约10°,女性约15°，这个外翻角称为携带角。若这个角度增大,即前臂过于外展，称为肘外翻畸形。肘外翻最常见的原因是未经复位或复位不良的儿童肱骨髁上骨折和肱骨远端骨折,儿童肱骨内外髁骨折未能及时复位或复位不良、肱骨外髁骨骺早闭或缺血性坏死及未经复位或复位不良的肘关节脱位均可致肘外翻。",肘外翻
发热|身痛,上肢,骨科,"肱骨内髁骨折,好发生于儿童，较少见。波及范围包括内上髁与滑车的大部分,其损伤机理、类型与治疗方法与肱骨外髁骨折极相似。故二者形成相互对称的“影像”损伤",肱骨内髁骨折
发热|身痛,全身,骨科,"周围性软骨肉瘤是起源于骨外,种植于骨上的软骨肉瘤。发病率较中心性软骨肉瘤少。好发于男性,男女之比为2∶1。成人期发病，一般见于20岁以后,青春期前无发病。",周围性软骨肉瘤
发热|体型异常|身痛|关节疼痛,上肢,骨科,"    是指各种原因造成肘关节活动丧失,固定于某一特定位置，称肘关节强直，常可分为纤维性僵硬和骨性强直两种",肘关节强直
发热|关节疼痛,上肢,骨科,"    肘关节结核在上肢三大关节中居首位,占全身骨关节结核的0.92％，患者以青壮年最多，男女病人和左右侧大致相等,有报告同一病人双侧肘关节均受累。多数病人合并其他器官结核。",肘关节结核
发热|感觉障碍|身痛,背部,骨科,"　　椎弓结核系指病变限于椎弓根,椎板、棘突或横突，而不是继发于椎体结核扩展到椎弓根,横突或上下关节突的病变。本病较为少见，占脊椎结核0.8％～1％,另一组10531例脊椎结核中有45例，占2.3％。北京结核病防治所脊椎结核3139例中,仅有17例，占0.4％。发病率很少的原因,有学者认为椎弓小动脉吻合丰富，不易产生栓塞，不负重,局部松质骨少以及其周围肌肉丰富等因素有关。",椎弓结核
发热|身痛,下肢,骨科,"    跖骨,趾骨骨折是常见骨折，多因重物打击足背、辗压,足内翻扭伤或误踢硬物引起。","跖骨、趾骨骨折(跖骨骨折,趾骨骨折)"
发热|身痛,背部,骨科,"　　椎管内结核系指结核性肉芽肿位于在硬膜外或硬膜下,引起脊髓功能障碍，临床基本特点渐进性脊髓受压症状和体征。有学者称之非典型脊椎结核（atypical spinal tuborcolosis）,椎管内结核性肉芽肿可见于任何年龄，多见于青壮年，男女性发病率无明显差别,硬腊外肉芽肿比硬膜下肉芽肿多见，两者比例约为10:1。","椎管内结核肉芽肿(椎管内结核瘤,非典型脊椎结核)"
发热|身痛|关节疼痛,上肢,骨科,"    本病较多发生在拇指,示指，脱位后指骨向背侧移位，掌骨头突向掌侧,形成关节过伸位畸形。示指尚有尺偏及指间关节半屈曲畸形。表现为局部肿胀,疼痛、功能障碍。",掌指关节脱位
发热|身痛|关节疼痛,上肢,骨科,"　　肘关节脱位占全身四大关节脱位总数的一半,构成肘关节的肱骨下端呈内外宽厚，前后薄扁。侧方有坚强的韧带保护,关节囊前后部相当薄弱。肘关节的运动，主要为屈伸,尺骨冠状突较鹰嘴突小。因此对抗尺骨向后移动的能力要比对抗向前移动的能力差。所以肱关节后脱位远比其它方向的脱位较为常见,新鲜脱位经早期正确诊断及适当处理后，不会遗有明显的功能障碍。如早期未能得到及时正确的处理,则可能导致晚期严重的功能障碍。此时无论何种精心治疗，都难以恢复正常功能,而仅仅是得到不同程度的功能改善而已。",肘关节脱位
身痛,腰部,骨科,"    骶髂关节髂骨部下1/2～2/3骨质密度增厚所引起的慢性腰腿痛,称致密性髂骨炎。好发于女性，20～40岁和中年女性多见,患者有复发性下腰痛,有时可向下放射至两侧臀部和大腿，但不是根性疼痛，下腰活动时可加重症状,可能与妊娠,劳损及病灶性炎症有关。",致密性髂骨炎(髂骨致密性骨炎)
神经痛|身痛,下肢,骨科,"    神经痛或良性神经瘤可发生在任何趾间神经.趾间神经行走于趾骨之下和跖骨之间,越过跖球,走向远端,支配足趾.第三足底趾间神经由内,外足底神经的分支组成,通常在这里形成神经瘤(Morton神经瘤).单侧神经瘤比双侧更常见,女性比男性更多.",趾间神经痛
身痛|关节疼痛,下肢,骨科,"    又称舟骨无菌性坏死,是指生长发育中的足舟骨硬化、扁平和碎裂。常累及4～8岁的儿童,男孩多于女孩。",足舟状骨骨软骨病(舟骨无菌性坏死)
身痛|腰背痛,腰部,骨科,"    腰椎是富有代偿能力的脊柱部分,它能补偿下肢畸形，也能补偿脊柱本身畸形，所以它的韧带和关节容易受到劳损,引起腰腿痛。",姿态性腰腿痛
发热|关节疼痛,下肢,骨科,"    跖趾关节疼痛是累及跖趾关节的疼痛,是一种常见的症状，几乎全部是由于关节面异常引起半脱位和关节囊与滑膜的撞击，最终导致关节软骨的破坏(退行性关节病)",跖趾关节痛
体型异常,下肢,骨科,"    高弓足是儿童颇为常见足畸形,多为神经肌肉性疾病引起的前足固定性跖屈，从而使足纵弓增高。有时合并后足内翻畸形,偶见原因不明者，可称为特发性高弓足。",高弓足
发热|身痛,上肢,骨科,"肱骨内上髁骨折是肘部损伤中最常见的一种,多见于青少年，约占肘关节骨折的10％，仅次于肱骨髁上骨折与肱骨外髁骨折,占肘部损伤的第三位。",肱骨内上髁骨折
身痛,全身,骨科,"肢骨纹状肥大（melorheostosis）又称骨熔烛样病,单肢型烛泪样骨质增生症，及Leri骨质硬化症蜡烛骨（candle bone）等。为一种少见的形状特殊的局限性骨质增生,从X线片上看，犹似熔蜡沿骨干流下。","肢骨纹状肥大(骨熔烛样病,腊泪样骨病)"
发热|身痛,全身,骨科,"硬化性骨髓炎又名Garre's病,特发性骨皮质硬化和干性骨髓炎，此病较少见。病因不明,不易找到致病菌。有时可能与损伤有关。损伤产生骨膜下血肿,形成钙化，本病多发生在青壮年，男多于女,体质多健壮，如运动员。长管骨均多发病,但下肢以胫骨最为多见。",硬化型骨髓炎(Garre's病)
