symptoms,body_part,clinic_department,description,medicine_name
淋巴结肿大|口腔痛|脓疱|溃疡|囊肿,口,"外科,口腔科","    颏下间隙感染是指颏下间隙急性化脓性感染,主要临床表现有淋巴结肿大、颏下三角区皮肤充血、疼痛有等",颏下间隙感染(颏下间隙急性化脓性感染)
发热|口腔痛|咽炎、舌炎、龈炎|脓疱|溃疡|头痛,口,口腔科,"    复发性口疮是口腔粘膜疾病中发病率最高的一种疾病,普通感冒、消化不良、精神紧张,郁闷不乐等情况均能偶然发生，好发于唇、颊,舌缘等，在粘膜的任何部位均能出现，但在角化完全的附着龈,硬腭则少见。年龄不拘，发病年龄估计在10～20岁之间,女性较多。一年四季均能发生，溃疡有自限性,能在10天左右自愈。若口疮经常发生或此起彼伏称复发性口疮。其病损呈溃疡性损害,溃疡具有周期性、复发性及自限性等特点。","口腔溃疡(口疮,飞滋,口炎疮,复发性口疮)"
咽炎、舌炎、龈炎|溃疡,口,口腔科,"    白斑（leukoplakia）是指仅仅发生在粘膜上的白色或灰白色角化性病变的斑块状损害,口腔粘膜上的这种斑块是不能被擦掉的，在临床和组织病理学上又不能列入其它疾病分类之中者，是一种常见的非传染性慢性疾病,口腔各部粘膜均可发生，但以颊、舌部最多,国内1980年普查结果患病率为10.47％（包括烟斑）。长期以来曾将口腔粘膜上所发生的白色斑块都称为“白斑”，使许多白色损害混同于白斑,从而造成流行病学和治疗方法上的不恰当结果。白斑的色泽除了白色以外，还可表现为红白间杂的损害,应该明确，白斑是肉眼所见的临床术语，在组织病理上的变化,应该符合癌前损害的特征--上皮异常增生，而不是单纯的上皮增生。",口腔白斑病(口腔白斑病)
发热|口腔痛|脓疱|溃疡|囊肿,口,口腔科,"    颊间隙感染是指颊间隙急性化脓性感染,主要表现有下颌或上颌磨牙区前庭沟红肿，前庭沟变浅呈隆起伏，触之剧痛,有波动感，穿刺易抽出脓液，面颊皮肤红肿相对较轻",颊间隙感染(颊间隙急性化脓性感染)
发热|心律失常|呼吸异常,口,"内分泌科,口腔科","    因导管的阻塞和狭窄而导致颌下腺逆行性炎症,称为颌下腺炎，常与涎石并发。临床表现主要为颌下腺肿大,疼痛，有脓性分泌物自导管口溢处。 本病成年人发病率高,大多系慢性表现。目前有较有效的治疗药物和方法，治愈率较高,未及时接受治疗者，未经正规治疗者，疗效欠佳,因此，早治疗是关键。",急性颌下腺炎
吞咽困难|口腔痛|脓疱|消瘦,口,口腔科,"    颌骨骨髓炎可分为化脓性,特异性、放射性等几种。临床上以化脓性颌骨骨髓炎最为多见",急性颌骨骨髓炎(急性颌骨骨髓炎)
吞咽困难|口腔痛|呼吸异常|关节疼痛,口,"骨科,外科","    颌骨骨折包括上颌骨骨折和下颌骨骨折,分为开放性骨折和闭合性骨折。根据致伤原因，又可分为火器性损伤和非火器性损伤两大类",颌骨骨折
吞咽困难|咽炎、舌炎、龈炎|囊肿,口,"外科,口腔科","    甲状舌管囊肿与鳃裂囊肿皆为发育异常性囊肿,前者由胚胎甲状腺形成过程中的甲状舌管退化不全，遗留在深部组织内并产生分泌物积聚于组织内而成；后者系胚胎时期鳃裂的残余组织所形成。",甲状舌管囊肿与鳃裂囊肿(甲状舌管囊肿与鳃裂囊肿)
口腔痛|咽炎、舌炎、龈炎|口臭|脓疱|溃疡|囊肿,口,口腔科,"    口腔念珠菌病（oral candidiasis）是真菌--念珠菌属感染所引起的口腔粘膜疾病,近年来，由于抗生素和免疫抑制剂在临床上的广泛应用，发生菌群失调或免疫力降低,而使内脏、皮肤、粘膜被真菌感染者日益增多,口腔粘膜念珠菌病的发生率也相应增高。Gruby（1842）从口疮患者的病变处分离出酵母样菌；Berkhont（1923）确认此种菌属于隐球菌科的念珠菌、高里念珠菌,假热带念珠菌。其中白色念珠菌是最主要的病原菌。鹅口疮（雪口病）是最常见的口腔念珠菌病","口腔念珠菌病(鹅口疮,雪口病)"
淋巴结肿大|发热|咽痛|口腔痛|咽炎、舌炎、龈炎|口臭|脓疱|溃疡,口,口腔科,"    坏死性龈口炎由奋森螺旋体和梭形菌感染所致,临床上本病较少见。当局部或全身抵抗力下降，口腔卫生不良,营养不佳时，病情可迅速发展，病损严重,急性者多见于儿童，慢性者多见于成人。 由于本病起病急,病情发展快，病症后果严重，千万不要拖延病情,早期就应该及时就诊治疗，发病期间加强口腔护理和卫生是很重要的。",坏死性龈口炎(坏死性口炎)
吞咽困难|囊肿|呼吸异常,口,"外科,口腔科","    颌骨囊肿是指在颌骨内出现一含有液体的囊性肿物,逐步增大、颌骨膨胀破坏，据其发病原因可分为牙源性及非牙源性两大类,牙源性者即囊肿由成牙组织或牙演变而来；非牙源性囊肿则可由胚胎发育过程中残留于颌骨内的上皮发展形成，如面裂囊肿、亦可为损伤所致的血外渗性囊肿以及动脉瘤样骨囊肿等",颌骨囊肿
发热|口腔痛|脓疱|囊肿|头痛,口,口腔科,"    智齿（第三磨牙）牙冠周围的软组织炎症为智齿冠周炎,常发生于18-25岁的青年，是常见口腔疾病之一。",智齿冠周炎(智齿冠周炎)
 吞咽困难|咽痛|口腔痛|休克|黏膜损害|呼吸异常,口,"外科,口腔科","    口腔颌面部软组织伤可以单独发生,也可以与颌、面骨骨折同时发生。各类损伤的临床症状和处理方法也各其特点",口腔颌面部软组织损伤(口腔颌面部软组织损伤)
吞咽困难|囊肿|呼吸异常,口,"耳鼻喉科,口腔科","    咽旁间隙感染是指咽旁间隙的急性化脓性感染,主要临床表现为咽侧壁红肿、腭扁桃体突出。",咽旁间隙感染(咽旁间隙的急性化脓性感染)
牙齿异常,口,"外科,口腔科",    牙列稀疏有四种类型,牙列稀疏(牙列稀疏)
牙齿异常,口,"外科,口腔科","    牙列拥挤是错合畸形中最常见者,可表现为牙齿拥挤错位排列不齐；而拥挤牙齿的龋及牙周病发生率均较正常排列牙齿为高。同是牙列拥挤十分明显地影响外观，严重者可造成口唇闭合困难,形成开唇露齿。",牙列拥挤(牙列拥挤)
牙齿异常,口,口腔科,"    釉质发育不全和釉质钙化不全均属于釉质发育异常,是牙齿结构异常的一种疾病。釉质发育异常的病因：有局部性、遗传性及全身性（如先天性梅毒,营养不良、传染病等）釉质发育不全是釉质形成的量减少，而不是矿化质量的减低",釉质发育不全(釉质发育不全)
